Problem: orb15104x15104, setup: 11.79 s, time: 1.56 s, ``mflops'': 10173
Problem: orb15616x15616, setup: 14.22 s, time: 1.84 s, ``mflops'': 9237.5
Problem: orb16128x16128, setup: 12.51 s, time: 720.75 ms, ``mflops'': 25221
Problem: irf96x96x96, setup: 349.75 ms, time: 1.31 ms, ``mflops'': 33441
Problem: irf112x112x112, setup: 318.59 ms, time: 2.64 ms, ``mflops'': 27178
Problem: irf128x128x128, setup: 734.62 ms, time: 4.30 ms, ``mflops'': 25617
Problem: irf144x144x144, setup: 796.59 ms, time: 8.87 ms, ``mflops'': 18105
Problem: irf160x160x160, setup: 887.26 ms, time: 8.55 ms, ``mflops'': 26303
Problem: irf176x176x176, setup: 963.66 ms, time: 13.55 ms, ``mflops'': 22506
Problem: irf192x192x192, setup: 1.36 s, time: 15.05 ms, ``mflops'': 26746
Problem: irf208x208x208, setup: 1.51 s, time: 24.00 ms, ``mflops'': 21658
Problem: irf224x224x224, setup: 1.85 s, time: 26.27 ms, ``mflops'': 25053
Problem: irf240x240x240, setup: 2.55 s, time: 33.42 ms, ``mflops'': 24531
Problem: irf256x256x256, setup: 2.85 s, time: 36.71 ms, ``mflops'': 27420
Problem: irf272x272x272, setup: 5.38 s, time: 96.57 ms, ``mflops'': 12639
Problem: irf288x288x288, setup: 4.13 s, time: 56.98 ms, ``mflops'': 25687
Problem: irf304x304x304, setup: 7.65 s, time: 141.41 ms, ``mflops'': 12290
Problem: irf320x320x320, setup: 5.44 s, time: 76.13 ms, ``mflops'': 26863
Problem: irf336x336x336, setup: 6.10 s, time: 92.36 ms, ``mflops'': 25852
Problem: irf352x352x352, setup: 7.17 s, time: 122.35 ms, ``mflops'': 22616
Problem: irf368x368x368, setup: 14.32 s, time: 279.38 ms, ``mflops'': 11403
Problem: irf384x384x384, setup: 8.88 s, time: 133.31 ms, ``mflops'': 27349
Problem: irf400x400x400, setup: 11.82 s, time: 165.57 ms, ``mflops'': 25059
Problem: irf416x416x416, setup: 11.27 s, time: 187.31 ms, ``mflops'': 25080
Problem: irf432x432x432, setup: 12.97 s, time: 212.89 ms, ``mflops'': 24866
Problem: irf448x448x448, setup: 14.25 s, time: 234.41 ms, ``mflops'': 25337
Problem: irf464x464x464, setup: 28.84 s, time: 619.77 ms, ``mflops'': 10708
Problem: irf480x480x480, setup: 17.23 s, time: 270.24 ms, ``mflops'': 27338
Problem: irf496x496x496, setup: 32.73 s, time: 780.45 ms, ``mflops'': 10500
Problem: irf512x512x512, setup: 20.72 s, time: 347.76 ms, ``mflops'': 26051
Problem: irf528x528x528, setup: 24.03 s, time: 413.59 ms, ``mflops'': 24142
Problem: irf544x544x544, setup: 28.83 s, time: 729.93 ms, ``mflops'': 15032
Problem: irf560x560x560, setup: 24.97 s, time: 439.13 ms, ``mflops'': 27382
Problem: irf576x576x576, setup: 27.47 s, time: 485.92 ms, ``mflops'': 27047
Problem: irf592x592x592, setup: 38.19 s, time: 1.44 s, ``mflops'': 9947.2
Problem: orf96x96x96, setup: 260.50 ms, time: 1.53 ms, ``mflops'': 28650
Problem: orf112x112x112, setup: 220.92 ms, time: 3.34 ms, ``mflops'': 21501
Problem: orf128x128x128, setup: 625.65 ms, time: 4.69 ms, ``mflops'': 23476
Problem: orf144x144x144, setup: 510.36 ms, time: 7.23 ms, ``mflops'': 22200
Problem: orf160x160x160, setup: 606.49 ms, time: 9.93 ms, ``mflops'': 22657
Problem: orf176x176x176, setup: 622.11 ms, time: 14.29 ms, ``mflops'': 21350
Problem: orf192x192x192, setup: 905.03 ms, time: 17.21 ms, ``mflops'': 23390
Problem: orf208x208x208, setup: 978.06 ms, time: 25.91 ms, ``mflops'': 20057
Problem: orf224x224x224, setup: 1.18 s, time: 29.31 ms, ``mflops'': 22451
Problem: orf240x240x240, setup: 1.64 s, time: 35.89 ms, ``mflops'': 22840
Problem: orf256x256x256, setup: 1.89 s, time: 40.30 ms, ``mflops'': 24977
Problem: orf272x272x272, setup: 4.16 s, time: 148.65 ms, ``mflops'': 8211.6
Problem: orf288x288x288, setup: 2.61 s, time: 65.03 ms, ``mflops'': 22507
Problem: orf304x304x304, setup: 4.50 s, time: 136.58 ms, ``mflops'': 12724
Problem: orf320x320x320, setup: 3.35 s, time: 83.58 ms, ``mflops'': 24468
Problem: orf336x336x336, setup: 3.89 s, time: 102.47 ms, ``mflops'': 23299
Problem: orf352x352x352, setup: 4.41 s, time: 125.47 ms, ``mflops'': 22054
Problem: orf368x368x368, setup: 8.58 s, time: 272.29 ms, ``mflops'': 11700
Problem: orf384x384x384, setup: 5.81 s, time: 146.39 ms, ``mflops'': 24905
Problem: orf400x400x400, setup: 5.93 s, time: 164.94 ms, ``mflops'': 25155
Problem: orf416x416x416, setup: 8.58 s, time: 293.73 ms, ``mflops'': 15993
Problem: orf432x432x432, setup: 8.23 s, time: 250.54 ms, ``mflops'': 21130
Problem: orf448x448x448, setup: 8.82 s, time: 237.52 ms, ``mflops'': 25005
Problem: orf464x464x464, setup: 16.88 s, time: 593.80 ms, ``mflops'': 11177
Problem: orf480x480x480, setup: 11.10 s, time: 288.36 ms, ``mflops'': 25620
Problem: orf496x496x496, setup: 17.77 s, time: 767.26 ms, ``mflops'': 10680
Problem: orf512x512x512, setup: 13.96 s, time: 381.02 ms, ``mflops'': 23778
Problem: orf528x528x528, setup: 14.28 s, time: 419.19 ms, ``mflops'': 23819
Problem: orf544x544x544, setup: 13.94 s, time: 716.14 ms, ``mflops'': 15322
Problem: orf560x560x560, setup: 14.99 s, time: 469.15 ms, ``mflops'': 25630
Problem: orf576x576x576, setup: 15.94 s, time: 519.06 ms, ``mflops'': 25321
Problem: orf592x592x592, setup: 21.84 s, time: 1.41 s, ``mflops'': 10128
Problem: irb96x96x96, setup: 373.74 ms, time: 2.14 ms, ``mflops'': 20384
Problem: irb112x112x112, setup: 339.34 ms, time: 2.66 ms, ``mflops'': 26948
Problem: irb128x128x128, setup: 657.51 ms, time: 4.48 ms, ``mflops'': 24551
Problem: irb144x144x144, setup: 777.86 ms, time: 6.24 ms, ``mflops'': 25741
Problem: irb160x160x160, setup: 982.43 ms, time: 9.75 ms, ``mflops'': 23061
Problem: irb176x176x176, setup: 1.05 s, time: 13.60 ms, ``mflops'': 22433
Problem: irb192x192x192, setup: 1.53 s, time: 17.27 ms, ``mflops'': 23320
Problem: irb208x208x208, setup: 1.65 s, time: 24.33 ms, ``mflops'': 21359
Problem: irb224x224x224, setup: 2.09 s, time: 27.83 ms, ``mflops'': 23651
Problem: irb240x240x240, setup: 2.80 s, time: 33.45 ms, ``mflops'': 24504
Problem: irb256x256x256, setup: 3.15 s, time: 40.26 ms, ``mflops'': 25003
Problem: irb272x272x272, setup: 5.71 s, time: 96.35 ms, ``mflops'': 12668
Problem: irb288x288x288, setup: 4.52 s, time: 62.31 ms, ``mflops'': 23491
